cod_reg;nom_reg;cod_pro;nom_pro;cod_com;nom_com;cod_deprov;nom_deprov;prom_lect2m_com;prom_mate2m_com;dif_lect2m_com;dif_mate2m_com;sigdif_lect2m_com;sigdif_mate2m_com;fecha_bbdd;codigo_bbdd;grado;agno;
1;Regi?n de Tarapac?;11;Iquique;1101;Iquique;11;Iquique;248;253;1;1;0;0;20250422;preliminar20240422v1;2m;2024
1;Regi?n de Tarapac?;11;Iquique;1107;Alto Hospicio;11;Iquique;245;252;5;4;0;0;20250422;preliminar20240422v1;2m;2024
1;Regi?n de Tarapac?;14;Tamarugal;1401;Pozo Almonte;14;Tamarugal;241;242;10;-5;1;0;20250422;preliminar20240422v1;2m;2024
1;Regi?n de Tarapac?;14;Tamarugal;1402;Cami?a;14;Tamarugal;241;226;9;-13;0;0;20250422;preliminar20240422v1;2m;2024
1;Regi?n de Tarapac?;14;Tamarugal;1403;Colchane;14;Tamarugal;221;222;26;19;1;0;20250422;preliminar20240422v1;2m;2024
1;Regi?n de Tarapac?;14;Tamarugal;1404;Huara;14;Tamarugal;233;214;22;-8;1;0;20250422;preliminar20240422v1;2m;2024
1;Regi?n de Tarapac?;14;Tamarugal;1405;Pica;14;Tamarugal;250;256;18;10;1;0;20250422;preliminar20240422v1;2m;2024
2;Regi?n de Antofagasta;21;Antofagasta;2101;Antofagasta;21;Antofagasta;247;252;4;4;0;0;20250422;preliminar20240422v1;2m;2024
2;Regi?n de Antofagasta;21;Antofagasta;2102;Mejillones;21;Antofagasta;230;207;5;-10;0;0;20250422;preliminar20240422v1;2m;2024
2;Regi?n de Antofagasta;21;Antofagasta;2103;Sierra Gorda;21;Antofagasta;227;198;19;-21;0;0;20250422;preliminar20240422v1;2m;2024
2;Regi?n de Antofagasta;21;Antofagasta;2104;Taltal;21;Antofagasta;243;266;11;36;1;1;20250422;preliminar20240422v1;2m;2024
2;Regi?n de Antofagasta;22;El Loa;2201;Calama;22;El Loa;251;265;0;7;0;0;20250422;preliminar20240422v1;2m;2024
2;Regi?n de Antofagasta;22;El Loa;2202;Ollag?e;22;El Loa;0;0;0;0;0;0;20250422;preliminar20240422v1;2m;2024
2;Regi?n de Antofagasta;22;El Loa;2203;San Pedro de Atacama;22;El Loa;213;224;-16;-19;-1;-1;20250422;preliminar20240422v1;2m;2024
2;Regi?n de Antofagasta;23;Tocopilla;2301;Tocopilla;21;Antofagasta;220;226;-9;-6;-1;0;20250422;preliminar20240422v1;2m;2024
2;Regi?n de Antofagasta;23;Tocopilla;2302;Mar?a Elena;21;Antofagasta;235;240;14;-5;1;0;20250422;preliminar20240422v1;2m;2024
3;Regi?n de Atacama;31;Copiap?;3101;Copiap?;31;Copiapo - Chanaral;240;239;-8;-12;-1;-1;20250422;preliminar20240422v1;2m;2024
3;Regi?n de Atacama;31;Copiap?;3102;Caldera;31;Copiapo - Chanaral;226;223;-11;-14;-1;-1;20250422;preliminar20240422v1;2m;2024
3;Regi?n de Atacama;31;Copiap?;3103;Tierra Amarilla;31;Copiapo - Chanaral;201;216;0;0;0;0;20250422;preliminar20240422v1;2m;2024
3;Regi?n de Atacama;32;Cha?aral;3201;Cha?aral;31;Copiapo - Chanaral;219;226;-16;10;-1;0;20250422;preliminar20240422v1;2m;2024
3;Regi?n de Atacama;32;Cha?aral;3202;Diego de Almagro;31;Copiapo - Chanaral;238;234;1;-7;0;0;20250422;preliminar20240422v1;2m;2024
3;Regi?n de Atacama;33;Huasco;3301;Vallenar;32;Huasco - Vallenar;261;269;12;12;1;1;20250422;preliminar20240422v1;2m;2024
3;Regi?n de Atacama;33;Huasco;3302;Alto del Carmen;32;Huasco - Vallenar;237;288;-6;12;0;0;20250422;preliminar20240422v1;2m;2024
3;Regi?n de Atacama;33;Huasco;3303;Freirina;32;Huasco - Vallenar;237;237;23;12;1;0;20250422;preliminar20240422v1;2m;2024
