rbd;dvrbd;nom_rbd;cod_reg_rbd;nom_reg_rbd;cod_pro_rbd;nom_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;cod_depe1;cod_depe2;cod_grupo;cod_rural_rbd;nalu_lect4b_rbd;nalu_mate4b_rbd;prom_lect4b_rbd;prom_mate4b_rbd;dif_lect4b_rbd;dif_mate4b_rbd;difgru_lect4b_rbd;difgru_mate4b_rbd;sigdif_lect4b_rbd;sigdif_mate4b_rbd;siggru_lect4b_rbd;siggru_mate4b_rbd;marca_lect4b_rbd;marca_mate4b_rbd;marcadif_lect4b_rbd;marcadif_mate4b_rbd;palu_eda_ins_lect4b_rbd;palu_eda_ele_lect4b_rbd;palu_eda_ade_lect4b_rbd;palu_eda_ins_mate4b_rbd;palu_eda_ele_mate4b_rbd;palu_eda_ade_mate4b_rbd;noaplica;codigo_bbdd;fecha_bbdd;grado;agno;
10125;7;ESCUELA SARGENTO CANDELARIA;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13103;CERRO NAVIA;134;Poniente;6;4;2;1;18;18;242;241;-14;9;-27;-15;0;0;;;;;;;44.4;44.4;11.1;50;50;0;0;preliminar20240422v1;20250422;4b;2024
14539;4;ESCUELA SANTA IN?S;5;DE VALPARA?SO;56;SAN ANTONIO;5601;SAN ANTONIO;54;San Antonio;3;2;2;1;14;13;218;220;1;;-51;;0;;;;;2;;1;64.3;21.4;14.3;84.6;15.4;0;0;preliminar20240422v1;20250422;4b;2024
1543;1;ESCUELA JORGE ALESSANDRI RODRIGUEZ;5;DE VALPARA?SO;51;VALPARA?SO;5101;VALPARA?SO;53;Valparaiso - Isla de Pascua;6;4;1;1;14;14;286;258;62;43;28;13;1;1;;;;;;;21.4;28.6;50;57.1;14.3;28.6;0;preliminar20240422v1;20250422;4b;2024
69;8;JUNIOR COLLEGE;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;151;Arica;4;3;5;1;61;63;301;279;1;-12;-4;-15;0;0;;;;;;;18;18;63.9;25.4;34.9;39.7;0;preliminar20240422v1;20250422;4b;2024
31373;4;COLEGIO SAINT JOSEPH SCHOOL;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13107;HUECHURABA;137;Norte;4;3;5;1;55;56;296;293;-6;-5;-9;-1;0;0;;;;;;;9.1;36.4;54.5;10.7;46.4;42.9;0;preliminar20240422v1;20250422;4b;2024
192;9;ESCUELA BASICA MAMINA;1;DE TARAPAC?;14;TAMARUGAL;1401;POZO ALMONTE;14;Tamarugal;1;1;3;2;4;4;250;286;;;;;;;;;;;2;2;0;0;0;0;0;0;0;preliminar20240422v1;20250422;4b;2024
13188;1;COLEGIO CERVANTINO;3;DE ATACAMA;31;COPIAP?;3101;COPIAP?;31;Copiapo - Chanaral;3;2;4;1;74;77;290;282;7;16;2;9;0;1;;;;;;;17.6;24.3;58.1;16.9;44.2;39;0;preliminar20240422v1;20250422;4b;2024
24426;0;ESCUELA PARTICULAR PHILIPPE COUSTEAU;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13110;LA FLORIDA;136;Cordillera;3;2;3;1;36;36;246;237;-33;-13;-31;-25;-1;0;;;;;;;41.7;36.1;22.2;55.6;30.6;13.9;0;preliminar20240422v1;20250422;4b;2024
11430;8;COLEGIO TERESIANO PADRE ENRIQUE;8;DEL BIOB?O;83;BIOB?O;8306;NACIMIENTO;82;Bio Bio;3;2;4;1;73;75;289;277;-1;-1;1;4;0;0;;;;;;;19.2;19.2;61.6;21.3;48;30.7;0;preliminar20240422v1;20250422;4b;2024
10102;8;ESCUELA ALBERT EINSTEIN;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13124;PUDAHUEL;134;Poniente;6;4;2;1;13;13;264;266;-17;14;-5;10;0;0;;;;;;;46.2;23.1;30.8;30.8;53.8;15.4;0;preliminar20240422v1;20250422;4b;2024
1397;8;ESCUELA PARTICULAR INDUSTRIAL E. BERTELSEN T;5;DE VALPARA?SO;55;QUILLOTA;5501;QUILLOTA;51;Quillota - Petorca;3;2;3;1;81;79;279;283;23;21;2;21;1;1;;;;;;;21;25.9;53.1;12.7;51.9;35.4;0;preliminar20240422v1;20250422;4b;2024
24311;6;COLEGIO FRANCES;12;DE MAGALLANES Y DE LA ANT;121;MAGALLANES;12101;PUNTA ARENAS;121;Magallanes;3;2;3;1;21;20;260;263;9;23;-17;1;0;1;;;;;;;23.8;57.1;19;25;55;20;0;preliminar20240422v1;20250422;4b;2024
92;2;ESCUELA CHISLLUMA;15;DE ARICA Y PARINACOTA;152;PARINACOTA;15202;GENERAL LAGOS;152;Parinacota;6;4;;2;0;0;;;;;;;;;;;;;;;;;;;;;1;preliminar20240422v1;20250422;4b;2024
11576;2;ESCUELA PARTICULAR N.290 LOS RADALES;10;DE LOS LAGOS;101;LLANQUIHUE;10105;FRUTILLAR;101;Llanquihue;3;2;3;2;2;3;184;163;;;;;;;;;;;1;1;0;0;0;0;0;0;0;preliminar20240422v1;20250422;4b;2024
25639;0;ESCUELA BASICA Y ESPECIAL N? 1905 JACARANDA;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13128;RENCA;134;Poniente;3;2;2;1;34;36;274;265;-28;15;5;9;-1;1;;;;;;;20.6;32.4;47.1;30.6;44.4;25;0;preliminar20240422v1;20250422;4b;2024
10171;0;ESCUELA PARTICULAR VILLA LOURDES;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13117;LO PRADO;134;Poniente;3;2;2;1;56;56;286;282;20;25;17;26;1;1;;;;;;;25;21.4;53.6;21.4;33.9;44.6;0;preliminar20240422v1;20250422;4b;2024
430;8;LICEO POLIT?CNICO BEL?N;3;DE ATACAMA;31;COPIAP?;3101;COPIAP?;31;Copiapo - Chanaral;3;2;3;1;66;63;256;222;-6;-5;-21;-40;0;0;;;;;;;39.4;31.8;28.8;73;27;0;0;preliminar20240422v1;20250422;4b;2024
4414;8;ESCUELA BASICA MUNILQUE IZAURIETA;8;DEL BIOB?O;83;BIOB?O;8305;MULCH?N;82;Bio Bio;2;1;1;2;2;1;225;;;;;;;;;;;1;2;2;0;0;0;0;0;0;0;preliminar20240422v1;20250422;4b;2024
4337;0;ESCUELA BASICA LA HOYADA;8;DEL BIOB?O;83;BIOB?O;8309;QUILLECO;82;Bio Bio;2;1;1;2;1;1;;;;;;;;;;;1;1;1;1;0;0;0;0;0;0;0;preliminar20240422v1;20250422;4b;2024
