cod_reg;nom_reg;cod_pro;nom_pro;cod_com;nom_com;cod_deprov;nom_deprov;prom_lect6b_com;prom_mate6b_com;dif_lect6b_com;dif_mate6b_com;sigdif_lect6b_com;sigdif_mate6b_com;fecha_bbdd;codigo_bbdd;grado;agno;
4;Regi?n de Coquimbo;42;Choapa;4202;Canela;43;Choapa;249;233;-3;-13;0;-1;20250422;preliminar20240422v1;6b;2024
4;Regi?n de Coquimbo;42;Choapa;4203;Los Vilos;43;Choapa;237;226;-1;-11;0;-1;20250422;preliminar20240422v1;6b;2024
4;Regi?n de Coquimbo;42;Choapa;4204;Salamanca;43;Choapa;248;232;3;-6;0;0;20250422;preliminar20240422v1;6b;2024
4;Regi?n de Coquimbo;43;Limar?;4301;Ovalle;42;Limari;249;240;-5;-10;0;-1;20250422;preliminar20240422v1;6b;2024
4;Regi?n de Coquimbo;43;Limar?;4302;Combarbal?;42;Limari;256;242;10;10;1;1;20250422;preliminar20240422v1;6b;2024
5;Regi?n de Valpara?so;51;Valpara?so;5101;Valpara?so;53;Valparaiso - Isla;239;236;0;-5;0;0;20250422;preliminar20240422v1;6b;2024
5;Regi?n de Valpara?so;51;Valpara?so;5102;Casablanca;53;Valparaiso - Isla;245;242;1;-3;0;0;20250422;preliminar20240422v1;6b;2024
5;Regi?n de Valpara?so;51;Valpara?so;5103;Conc?n;53;Valparaiso - Isla;252;257;-10;-6;-1;0;20250422;preliminar20240422v1;6b;2024
5;Regi?n de Valpara?so;51;Valpara?so;5104;Juan Fern?ndez;53;Valparaiso - Isla;211;221;-21;-7;-1;0;20250422;preliminar20240422v1;6b;2024
5;Regi?n de Valpara?so;51;Valpara?so;5105;Puchuncav?;53;Valparaiso - Isla;224;220;-7;-8;0;0;20250422;preliminar20240422v1;6b;2024
5;Regi?n de Valpara?so;51;Valpara?so;5107;Quintero;53;Valparaiso - Isla;232;230;-13;-14;-1;-1;20250422;preliminar20240422v1;6b;2024
5;Regi?n de Valpara?so;58;Marga Marga;5803;Olmu?;51;Quillota - Petorca;240;228;10;6;1;0;20250422;preliminar20240422v1;6b;2024
5;Regi?n de Valpara?so;58;Marga Marga;5804;Villa Alemana;53;Valparaiso - Isla;243;245;-3;-7;0;-1;20250422;preliminar20240422v1;6b;2024
5;Regi?n de Valpara?so;57;San Felipe;5703;Llaillay;52;San Felipe - Los A;240;228;-7;-4;0;0;20250422;preliminar20240422v1;6b;2024
5;Regi?n de Valpara?so;57;San Felipe;5704;Panquehue;52;San Felipe - Los A;258;253;-4;-6;0;0;20250422;preliminar20240422v1;6b;2024
5;Regi?n de Valpara?so;57;San Felipe;5705;Putaendo;52;San Felipe - Los A;226;222;-2;-4;0;0;20250422;preliminar20240422v1;6b;2024
5;Regi?n de Valpara?so;57;San Felipe;5706;Santa Mar?a;52;San Felipe - Los A;238;225;1;-9;0;0;20250422;preliminar20240422v1;6b;2024
5;Regi?n de Valpara?so;58;Marga Marga;5801;Quilpu?;53;Valparaiso - Isla;241;239;-8;-12;-1;-1;20250422;preliminar20240422v1;6b;2024
5;Regi?n de Valpara?so;58;Marga Marga;5802;Limache;51;Quillota - Petorca;236;234;-3;-3;0;0;20250422;preliminar20240422v1;6b;2024
5;Regi?n de Valpara?so;56;San Antonio;5603;Cartagena;54;San Antonio;234;224;-9;-16;-1;-1;20250422;preliminar20240422v1;6b;2024
5;Regi?n de Valpara?so;56;San Antonio;5604;El Quisco;54;San Antonio;250;239;9;9;1;0;20250422;preliminar20240422v1;6b;2024
5;Regi?n de Valpara?so;56;San Antonio;5605;El Tabo;54;San Antonio;234;226;1;4;0;0;20250422;preliminar20240422v1;6b;2024
5;Regi?n de Valpara?so;56;San Antonio;5606;Santo Domingo;54;San Antonio;256;248;12;9;1;0;20250422;preliminar20240422v1;6b;2024
5;Regi?n de Valpara?so;57;San Felipe;5701;San Felipe;52;San Felipe - Los A;249;241;-3;-4;0;0;20250422;preliminar20240422v1;6b;2024
5;Regi?n de Valpara?so;57;San Felipe;5702;Catemu;52;San Felipe - Los A;239;234;-3;-4;0;0;20250422;preliminar20240422v1;6b;2024
5;Regi?n de Valpara?so;55;Quillota;5502;La Calera;51;Quillota - Petorca;243;235;2;-11;0;-1;20250422;preliminar20240422v1;6b;2024
5;Regi?n de Valpara?so;55;Quillota;5503;Hijuelas;51;Quillota - Petorca;231;223;-6;-3;0;0;20250422;preliminar20240422v1;6b;2024
5;Regi?n de Valpara?so;55;Quillota;5504;La Cruz;51;Quillota - Petorca;224;222;-10;-10;-1;0;20250422;preliminar20240422v1;6b;2024
5;Regi?n de Valpara?so;55;Quillota;5506;Nogales;51;Quillota - Petorca;240;231;7;2;0;0;20250422;preliminar20240422v1;6b;2024
5;Regi?n de Valpara?so;56;San Antonio;5601;San Antonio;54;San Antonio;243;233;-7;-15;-1;-1;20250422;preliminar20240422v1;6b;2024
5;Regi?n de Valpara?so;56;San Antonio;5602;Algarrobo;54;San Antonio;239;231;-9;-7;-1;0;20250422;preliminar20240422v1;6b;2024
5;Regi?n de Valpara?so;54;Petorca;5401;La Ligua;51;Quillota - Petorca;238;228;-11;-13;-1;-1;20250422;preliminar20240422v1;6b;2024
5;Regi?n de Valpara?so;54;Petorca;5402;Cabildo;51;Quillota - Petorca;246;239;-1;-1;0;0;20250422;preliminar20240422v1;6b;2024
5;Regi?n de Valpara?so;54;Petorca;5403;Papudo;51;Quillota - Petorca;223;217;-18;-18;-1;-1;20250422;preliminar20240422v1;6b;2024
5;Regi?n de Valpara?so;54;Petorca;5404;Petorca;51;Quillota - Petorca;248;232;2;-11;0;-1;20250422;preliminar20240422v1;6b;2024
5;Regi?n de Valpara?so;54;Petorca;5405;Zapallar;51;Quillota - Petorca;254;251;4;-1;0;0;20250422;preliminar20240422v1;6b;2024
